date,NEB_mean,NEB_highest,NEB_lowest,RUKZ,AtlN,ONI,random_ts,wavelet_NEB_mean,wavelet_NEB_highest,wavelet_NEB_lowest,wavelet_RUKZ,wavelet_AtlN,wavelet_ONI
1950-01-01,53.32931069121964,104.5500030517578,7.360000133514404,13.440676429617708,24.617685409274888,-1.53,3.185221258036459,0.1565987976352841,0.3691263288714912,0.0972451488686516,0.1241227561275937,-0.0543988000684995,-0.4375400629175017
1950-02-01,75.43620696561089,120.73999786376952,15.600000381469728,4.860598472844757,24.005806460402084,-1.34,3.833434008338573,0.141079373147411,0.3301678847470183,0.0938552234230736,0.1564627781236607,-0.041108278704693,-0.4949348391980875
1950-03-01,224.0972417195638,320.1700134277344,72.54000091552734,6.228437182738468,24.031050837693257,-1.16,-4.777686635125492,0.1189456236972477,0.2775740228627427,0.0861394282339053,0.1839133005437274,-0.0261351503519682,-0.5413998282861969
1950-04-01,285.31333502407733,416.25,143.24000549316406,13.0504425299001,24.689106358015007,-1.18,5.302513488830548,0.0914251123055193,0.2137664536685647,0.0747069745441318,0.2054872147422713,-0.0100320661469677,-0.574546895406369
1950-05-01,67.0163213535287,85.25,74.66000366210938,35.54103134087708,24.974046016149895,-1.07,3.7469470242528025,0.0600344518322592,0.1417789598940804,0.0603870199284392,0.2203846229268843,0.006605931265061,-0.5924670392605669
1950-06-01,8.777356348589233,6.840000152587891,11.68000030517578,80.03178609854257,25.72364061574872,-0.85,-2.131426159646346,0.0264874575933352,0.0650904423780868,0.0441557058770377,0.2280351871774268,0.0231605592133516,-0.593851015871722
1950-07-01,9.268045964768564,6.110000133514404,41.5099983215332,72.9982085077024,26.094670352284933,-0.54,-4.576480160326786,-0.0074079394060287,-0.0125690613898998,0.0270525480232374,0.2281304841029427,0.0390111319195542,-0.5780823653746342
1950-08-01,1.562183910124432,7.03000020980835,15.25,64.49296416754379,26.730347700752333,-0.42,8.134166784573814,-0.0398574846191248,-0.0874276868338613,0.0100932539386725,0.2206443823859937,0.0535567525040452,-0.5452960207867276
1950-09-01,2.393333317883227,5.179999828338623,4.190000057220459,49.79821940013908,27.193949151319707,-0.39,-18.92965861925397,-0.0691862811927944,-0.1558836772899366,-0.0058136035612808,0.2058401790194263,0.0662393439104328,-0.4963974919692335
1950-10-01,10.139310383826665,7.690000057220459,12.760000228881836,11.342224711015149,27.155554642201864,-0.44,4.493932891508988,-0.0939357200960592,-0.2147070623073108,-0.0199389244715508,0.1842640169674529,0.0765667971271965,-0.4330398404782026
1950-11-01,4.521149429888732,8.670000076293945,3.890000104904175,21.28056345996977,26.7620376475199,-0.6,-4.302341932721942,-0.1129456414040402,-0.2612188544078619,-0.0317882217221216,0.1567249049903208,0.0841353148511575,-0.3575581628223271
1950-12-01,20.53747129303285,15.06999969482422,10.100000381469728,12.24490205697229,25.991024351006633,-0.8,-13.534232195355692,-0.1254167335408672,-0.2934369885150901,-0.0411348307613006,0.1242624142878663,0.0886498610827394,-0.2728639266932767
1951-01-01,36.05620684431887,38.75,0.8700000047683716,5.552657401425634,24.904272433450636,-0.82,-15.513803917767817,-0.130949530651652,-0.3101803697557802,-0.0480283585203945,0.0881037878498739,0.0899415188513237,-0.1823040874291125
1951-02-01,26.002643564651752,33.41999816894531,22.420000076293945,4.977162768275427,24.24736462724705,-0.54,6.194154776009663,-0.129557953683223,-0.31112508286987,-0.052777703726039,0.0496127285170679,0.0879805323659442,-0.089492276431409
1951-03-01,61.86425288244226,104.36000061035156,10.869999885559082,4.473251440548676,24.305751265189322,-0.17,2.9008350334621302,-0.1216570451900028,-0.2968098671594839,-0.0559102114700999,0.0102325048684145,0.0828838827424382,0.0018786666795062
1951-04-01,131.5810342766773,170.74000549316406,45.220001220703125,6.325090120625163,24.94312585028243,0.18,11.82783950317459,-0.1080262506057336,-0.2685911685287278,-0.0581106273062599,-0.0285737821562195,0.0749164255095756,0.0882320971598819
1951-05-01,57.934712434637134,67.23999786376953,103.51000213623048,36.71776227179622,25.420324200916735,0.36,-1.736006041102072,-0.0897511803335217,-0.2285512297526853,-0.0601453035495804,-0.0653828936008846,0.0644849004593858,0.1662993796984614
1951-06-01,71.31022943984503,84.02999877929688,166.9499969482422,58.7076008027568,26.012070508786334,0.58,0.7220333735645295,-0.0681481383402061,-0.1793655630774129,-0.0627784245709536,-0.0988683499602035,0.0521244965564817,0.2332965097358373
1951-07-01,5.315517255629616,7.130000114440918,19.950000762939453,31.22660633814369,26.694655794602518,0.7,-12.00757262834834,-0.0446767330938674,-0.1241385778167863,-0.0666877426427617,-0.1278520285270331,0.0384780932009199,0.2870746062063582
1951-08-01,0.999885053470217,1.4199999570846558,11.609999656677246,22.63294482952677,27.070982219313453,0.89,0.1758858236028311,-0.0208465295549957,-0.0662179555886546,-0.072387387813263,-0.1513483184500758,0.0242687728291534,0.3262347376292058
1951-09-01,0.9736781585533386,2.640000104904175,1.8899999856948853,28.871283564573645,27.387341783305402,0.99,-0.6385565107226892,0.0018760802233204,-0.0089994668399663,-0.0801647288521236,-0.1685991284659843,0.0102666721021393,0.3501995953807288
1951-10-01,5.784023041954671,5.579999923706055,3.25,22.5597055792302,27.249800635250896,1.15,8.032754854133428,0.0221548206692725,0.0442657552485803,-0.0900370700774045,-0.1790985254170983,-0.0027483286390649,0.3592371138451348
1951-11-01,3.2548275692495463,2.3299999237060547,6.559999942779541,9.340044317932826,26.688505321774723,1.04,-19.992199820744094,0.0388589365362939,0.0906499290259208,-0.1017322763166224,-0.1826062835830462,-0.0140262220573504,0.3544340959726162
